Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   0.050   5.828635E+04   -1.763011E+06   -1.5124E+00
   0.055   5.091606E+04   -1.252994E+06   -1.3535E+00
   0.060   4.525633E+04   -1.035688E+06   -1.3731E+00
   0.065   4.046066E+04   -8.896670E+05   -1.4292E+00
   0.070   3.632463E+04   -7.644764E+05   -1.4732E+00
   0.075   3.281485E+04   -6.398704E+05   -1.4625E+00
   0.080   2.990507E+04   -5.277559E+05   -1.4118E+00
   0.085   2.750429E+04   -4.355074E+05   -1.3459E+00
   0.090   2.551704E+04   -3.626936E+05   -1.2792E+00
   0.095   2.384817E+04   -3.074377E+05   -1.2247E+00
   0.100   2.242059E+04   -2.652220E+05   -1.1829E+00
   0.110   2.009589E+04   -2.042203E+05   -1.1179E+00
   0.120   1.826447E+04   -1.643980E+05   -1.0801E+00
   0.130   1.677224E+04   -1.355718E+05   -1.0508E+00
   0.140   1.552964E+04   -1.138250E+05   -1.0261E+00
   0.150   1.448018E+04   -9.675158E+04   -1.0022E+00
   0.160   1.358357E+04   -8.303681E+04   -9.7809E-01
   0.170   1.281107E+04   -7.182884E+04   -9.5315E-01
   0.180   1.214051E+04   -6.257699E+04   -9.2779E-01
   0.190   1.155421E+04   -5.491635E+04   -9.0306E-01
   0.200   1.103804E+04   -4.850789E+04   -8.7892E-01
   0.210   1.058056E+04   -4.314134E+04   -8.5626E-01
   0.220   1.017251E+04   -3.859183E+04   -8.3462E-01
   0.230   9.806412E+03   -3.473624E+04   -8.1471E-01
   0.240   9.475923E+03   -3.144041E+04   -7.9630E-01
   0.250   9.176125E+03   -2.858874E+04   -7.7889E-01
   0.260   8.902837E+03   -2.613049E+04   -7.6312E-01
   0.270   8.652471E+03   -2.398734E+04   -7.4852E-01
   0.280   8.422243E+03   -2.209852E+04   -7.3467E-01
   0.290   8.209736E+03   -2.043888E+04   -7.2198E-01
   0.300   8.012848E+03   -1.896647E+04   -7.1010E-01
   0.320   7.659348E+03   -1.647501E+04   -6.8831E-01
   0.340   7.350654E+03   -1.446129E+04   -6.6890E-01
   0.360   7.078583E+03   -1.279890E+04   -6.5092E-01
   0.380   6.836776E+03   -1.142080E+04   -6.3479E-01
   0.400   6.620389E+03   -1.024954E+04   -6.1927E-01
   0.420   6.425603E+03   -9.256782E+03   -6.0506E-01
   0.440   6.249217E+03   -8.401303E+03   -5.9153E-01
   0.460   6.088814E+03   -7.656411E+03   -5.7843E-01
   0.480   5.942298E+03   -7.010581E+03   -5.6629E-01
   0.500   5.807882E+03   -6.442441E+03   -5.5463E-01
   0.550   5.515969E+03   -5.292757E+03   -5.2774E-01
   0.600   5.273992E+03   -4.426018E+03   -5.0353E-01
   0.650   5.069935E+03   -3.762501E+03   -4.8238E-01
   0.700   4.895414E+03   -3.239513E+03   -4.6322E-01
   0.750   4.744165E+03   -2.826895E+03   -4.4690E-01
   0.800   4.611281E+03   -2.498216E+03   -4.3341E-01
   0.850   4.493567E+03   -2.217513E+03   -4.1946E-01
   0.900   4.388815E+03   -1.980013E+03   -4.0603E-01
   0.950   4.294857E+03   -1.785039E+03   -3.9484E-01
   1.000   4.209804E+03   -1.620519E+03   -3.8494E-01
   1.050   4.132478E+03   -1.475662E+03   -3.7494E-01
   1.100   4.061942E+03   -1.348575E+03   -3.6520E-01
   1.150   3.997351E+03   -1.237625E+03   -3.5605E-01
   1.200   3.937952E+03   -1.140420E+03   -3.4752E-01
   1.300   3.832319E+03   -9.789119E+02   -3.3207E-01
   1.400   3.741014E+03   -8.521370E+02   -3.1890E-01
   1.500   3.661083E+03   -7.497322E+02   -3.0718E-01
   1.600   3.590451E+03   -6.658394E+02   -2.9672E-01
   1.700   3.527438E+03   -5.962509E+02   -2.8735E-01
   1.800   3.470849E+03   -5.372400E+02   -2.7862E-01
   1.900   3.419700E+03   -4.869207E+02   -2.7054E-01
   2.000   3.373233E+03   -4.435395E+02   -2.6298E-01
   2.100   3.330799E+03   -4.059544E+02   -2.5595E-01
   2.200   3.291885E+03   -3.731020E+02   -2.4935E-01
   2.300   3.256045E+03   -3.442760E+02   -2.4319E-01
   2.400   3.222917E+03   -3.188199E+02   -2.3741E-01
   2.500   3.192185E+03   -2.962464E+02   -2.3201E-01
   2.600   3.163586E+03   -2.761244E+02   -2.2693E-01
   2.700   3.136889E+03   -2.581236E+02   -2.2217E-01
   2.800   3.111901E+03   -2.419406E+02   -2.1769E-01
   2.900   3.088448E+03   -2.273459E+02   -2.1347E-01
   3.000   3.066386E+03   -2.141233E+02   -2.0949E-01
   3.100   3.045583E+03   -2.021173E+02   -2.0573E-01
   3.200   3.025927E+03   -1.911647E+02   -2.0216E-01
   3.300   3.007318E+03   -1.811546E+02   -1.9879E-01
   3.400   2.989669E+03   -1.719704E+02   -1.9557E-01
   3.500   2.972900E+03   -1.635266E+02   -1.9252E-01
   3.600   2.956942E+03   -1.557387E+02   -1.8961E-01
   3.700   2.941732E+03   -1.485433E+02   -1.8683E-01
   3.800   2.927215E+03   -1.418772E+02   -1.8418E-01
   3.900   2.913341E+03   -1.356882E+02   -1.8164E-01
   4.000   2.900064E+03   -1.299253E+02   -1.7920E-01
   4.200   2.875139E+03   -1.195641E+02   -1.7466E-01
   4.400   2.852153E+03   -1.104790E+02   -1.7044E-01
   4.600   2.830876E+03   -1.024604E+02   -1.6649E-01
   4.800   2.811102E+03   -9.541558E+01   -1.6292E-01
   5.000   2.792663E+03   -8.908910E+01   -1.5951E-01
   5.200   2.775422E+03   -8.342779E+01   -1.5631E-01
   5.400   2.759251E+03   -7.838896E+01   -1.5341E-01
   5.600   2.744027E+03   -7.395160E+01   -1.5092E-01
   5.800   2.729642E+03   -6.993850E+01   -1.4861E-01
   6.000   2.716036E+03   -6.615052E+01   -1.4613E-01
   6.500   2.685145E+03   -5.766878E+01   -1.3960E-01
   7.000   2.658043E+03   -5.107361E+01   -1.3450E-01
   7.500   2.633775E+03   -4.616343E+01   -1.3146E-01
   8.000   2.611770E+03   -4.196227E+01   -1.2853E-01
   8.500   2.591713E+03   -3.835211E+01   -1.2578E-01
   9.000   2.573337E+03   -3.523168E+01   -1.2322E-01
   9.500   2.556406E+03   -3.255925E+01   -1.2100E-01
  10.000   2.540724E+03   -3.021983E+01   -1.1894E-01
  10.500   2.526136E+03   -2.817854E+01   -1.1713E-01
  11.000   2.512507E+03   -2.637082E+01   -1.1545E-01
  11.500   2.499730E+03   -2.477235E+01   -1.1397E-01
  12.000   2.487708E+03   -2.333763E+01   -1.1257E-01
  12.500   2.476368E+03   -2.204790E+01   -1.1129E-01
  13.000   2.465641E+03   -2.087603E+01   -1.1007E-01
  13.500   2.455474E+03   -1.980934E+01   -1.0891E-01
  14.000   2.445818E+03   -1.883033E+01   -1.0779E-01
  14.500   2.436631E+03   -1.793082E+01   -1.0670E-01
  15.000   2.427876E+03   -1.709919E+01   -1.0564E-01
  15.500   2.419521E+03   -1.633002E+01   -1.0461E-01
  16.000   2.411537E+03   -1.561515E+01   -1.0360E-01
  16.500   2.403897E+03   -1.495091E+01   -1.0262E-01
  17.000   2.396578E+03   -1.433118E+01   -1.0166E-01
  17.500   2.389559E+03   -1.375335E+01   -1.0072E-01
  18.000   2.382819E+03   -1.321267E+01   -9.9810E-02
  18.500   2.376340E+03   -1.270708E+01   -9.8926E-02
  19.000   2.370107E+03   -1.223281E+01   -9.8065E-02
  19.500   2.364103E+03   -1.178818E+01   -9.7233E-02
  20.000   2.358314E+03   -1.137015E+01   -9.6426E-02
  21.000   2.347333E+03   -1.060708E+01   -9.4894E-02
  22.000   2.337071E+03   -9.928765E+00   -9.3464E-02
  23.000   2.327451E+03   -9.323426E+00   -9.2135E-02
  24.000   2.318404E+03   -8.779532E+00   -9.0885E-02
  25.000   2.309874E+03   -8.289958E+00   -8.9723E-02
  26.000   2.301809E+03   -7.846185E+00   -8.8626E-02
  27.000   2.294168E+03   -7.442275E+00   -8.7588E-02
  28.000   2.286913E+03   -7.073439E+00   -8.6604E-02
  29.000   2.280011E+03   -6.734537E+00   -8.5658E-02
  30.000   2.273435E+03   -6.422396E+00   -8.4749E-02
  31.000   2.267159E+03   -6.133550E+00   -8.3867E-02
  32.000   2.261161E+03   -5.865262E+00   -8.3005E-02
  33.000   2.255422E+03   -5.615554E+00   -8.2163E-02
  34.000   2.249925E+03   -5.382186E+00   -8.1334E-02
  35.000   2.244653E+03   -5.162843E+00   -8.0502E-02
  36.000   2.239594E+03   -4.957345E+00   -7.9686E-02
  37.000   2.234734E+03   -4.764072E+00   -7.8878E-02
  38.000   2.230063E+03   -4.581305E+00   -7.8065E-02
  39.000   2.225568E+03   -4.408918E+00   -7.7260E-02
  40.000   2.221242E+03   -4.245725E+00   -7.6457E-02
