Temperature             Resistance
(Kelvin)                (Ohms)

4.39446170000000E-02   7.26610000000000E+04
4.81449510000000E-02   6.18470000000000E+04
5.17685280000000E-02   5.53870000000000E+04
5.72384980000000E-02   4.82230000000000E+04
6.52681810000000E-02   4.02328000000000E+04
7.52426650000000E-02   3.27057000000000E+04
8.43601010000000E-02   2.77315000000000E+04
9.64901930000000E-02   2.34123000000000E+04
1.13167061000000E-01   1.94807000000000E+04
1.29845551000000E-01   1.67905000000000E+04
1.48502083000000E-01   1.46296000000000E+04
1.64354958000000E-01   1.32312000000000E+04
1.84004026000000E-01   1.18939000000000E+04
2.05191360000000E-01   1.07930000000000E+04
2.30275853000000E-01   9.79780000000000E+03
2.59542054000000E-01   8.91590000000000E+03
2.88824451000000E-01   8.23650000000000E+03
3.08835658000000E-01   7.84840000000000E+03
3.28395540000000E-01   7.52430000000000E+03
3.66818716000000E-01   6.99350000000000E+03
4.17096396000000E-01   6.45190000000000E+03
4.75899684000000E-01   5.97180000000000E+03
5.36234107000000E-01   5.59070000000000E+03
6.10995215000000E-01   5.22600000000000E+03
6.88087370000000E-01   4.93451000000000E+03
7.66549109000000E-01   4.69912000000000E+03
8.56362521000000E-01   4.47981000000000E+03
9.50368936000000E-01   4.29445000000000E+03
1.04855823512384E+00   4.13425000000000E+03
1.14021768040709E+00   4.00775000000000E+03
1.20129120538222E+00   3.93726828580445E+03
1.30089645177279E+00   3.83242893069588E+03
1.39915075155728E+00   3.74231971953590E+03
1.59984662986372E+00   3.59013955529804E+03
1.80061470584335E+00   3.46989209905017E+03
2.00064914139279E+00   3.37272036741115E+03
2.20109443988912E+00   3.29166134751758E+03
2.39963375301116E+00   3.22344060610831E+03
2.60009617553596E+00   3.16373754739187E+03
2.80027368486927E+00   3.11189726467394E+03
3.00359554617127E+00   3.06563244606041E+03
3.20224461057951E+00   3.02525515364241E+03
3.40057685026201E+00   2.98946770520583E+03
3.60046409212304E+00   2.95673281275377E+03
3.80065869634140E+00   2.92717686604810E+03
4.00484898994955E+00   2.89935104668073E+03
4.20024373715805E+00   2.87525396995900E+03
4.68209443170145E+00   2.82262148325167E+03
5.09246581342255E+00   2.78458402174720E+03
5.60908644041502E+00   2.74341892491772E+03
6.32925641857692E+00   2.69522007293471E+03
7.16743428418272E+00   2.64954318969610E+03
8.21849260086742E+00   2.60279463043938E+03
9.27085427222817E+00   2.56401884627131E+03
1.03171369844437E+01   2.53133572052269E+03
1.13511942757178E+01   2.50352820201132E+03
1.23655637390278E+01   2.47929151954609E+03
1.33650315814052E+01   2.45819845952481E+03
1.43504833743621E+01   2.43927494816742E+03
1.53249290156653E+01   2.42235875779094E+03
1.62862310073755E+01   2.40716025784193E+03
1.72425537699192E+01   2.39317782154590E+03
1.81918157735048E+01   2.38037113824243E+03
1.91410330645881E+01   2.36832366464276E+03
2.00962422873063E+01   2.35721116124858E+03
2.11577327463169E+01   2.34560511148168E+03
2.27262213331394E+01   2.33012088126189E+03
2.43301889272966E+01   2.31553979792694E+03
2.59228062338017E+01   2.30240366137351E+03
2.75203326327391E+01   2.29035261457220E+03
2.91172948768890E+01   2.27913475740236E+03
3.09167330161063E+01   2.26769252157867E+03
3.30261536130114E+01   2.25533905775504E+03
3.60176531654437E+01   2.23948449627028E+03
3.90230603118386E+01   2.22546936331474E+03
4.20145846064291E+01   2.21299000375463E+03
4.50197469287197E+01   2.20177556020608E+03
